post_id,image1_name,comments_count,caption,labels
grantcardone_4290201_3059451086290859425_4423_484,2023-03-16_02-50-12_UTC_1.jpg,484,"Another record distribution month at Cardone Capital.
.
Tomorrow night our investors are invited to a live zoom Q&A with me regarding the affect of Banks@on Real Estate.
","Font,Brand,Darkness,Graphics,Event,Logo,Electric blue,"
hulu_1780852_3062113619005213008_1412_35,2023-03-19_19-00-23_UTC_1.jpg,35,"It's a CRIME not to watch these true crime titles! What are you streaming this weekend? 👀 🔍
","Microphone,Flash photography,Sleeve,Audio equipment,Fashion design,Formal wear,Hat,Event,Vintage clothing,Jewellery,"
sahilkhan_11415416_3046777789306123838_1102682_6167,2023-02-26_15-10-37_UTC_1.jpg,6167,"#tupac Reborn in India 🇮🇳 🧬 @m___c___stan Haq Se The Next BIG Thing 🙌🏻 💥 #BastiKaHasti #FitnessiC⭕️N 
@rahulnarainkanal
","Jeans,Smile,Musician,Flash photography,Gesture,Entertainment,Cool,Leisure,Music,Event,"
shikhatalsania_125202_2960901147589739387_158_2,2022-10-31_03-29-03_UTC_1.jpg,2,"Workshops on the Jaipur weekend. Please contact Utsav on 8963826704 for details and reservations.
","Musical instrument,Font,Poster,Advertising,Guitar,Music,Event,Magenta,Performing arts,Graphics,"
rohitsharma45_27275050_2976960803026984676_1560512_6036,2022-11-22_07-16-44_UTC.jpg,6036,"Twinning for the thing we love most 🐳🐋❤️
","Hand,Hairstyle,Smile,Cap,Gesture,Table,Baseball cap,Chair,Happy,T-shirt,"
disneyplus_5352028_3057300220686461264_18243_51,2023-03-13_03-36-49_UTC.jpg,51,"Congratulations to Ruth E. Carter for her Academy Award win for Best Costume Design for Marvel Studios’ Black Panther: #WakandaForever! #Oscars95
","Human,Poster,Font,Action film,Fictional character,Armour,Action figure,Book cover,Advertising,Movie,"
rashwin99_3955334_2872097834309882425_90079_278,2022-06-30_14-52-44_UTC.jpg,278,"Test match time again✅✅🤩 . Let’s go #indvseng
","Arm,Polo shirt,Jersey,Sports jersey,Sleeve,Sports uniform,Gesture,Sportswear,Player,T-shirt,"
akanksharedhu_166654_3048043069191068142_-1_12,2023-02-28_09-04-30_UTC_1.jpg,12,"~ C O F F E E  L O V E R S ~ I've discovered a coffee flavoured toothpaste to make ALL your coffee dreams come true. Morning AND night 😁☕ @dente91_official
Think minty coffee and like actually really tasty. I love drinking my coffee first thing in the morning and quite hate brushing my teeth after coz the coffee taste dies after that. But this is a pretty sweet deal for me 😎 Yay!
I also did a blog post on it WHAAAAT! Sharing link in stories (feels like the old days)
https://akanksharedhu.com 
.
.
#coffeelover #coffeetoothpaste #dente91 #dente91toothpaste #RedhuxDente91 #RedhuBeauty
","Chin,Hand,Smile,Gesture,Finger,Happy,Eyelash,Chest,Thumb,Fun,"
iamjoelbrown_128782_3023883681606170566_1203_51,2023-01-26_01-04-07_UTC_1.jpg,51,"Want to conquer anxiety? Try this hack: adopt a non-judgmental attitude towards it!

By seeing it as a normal response to stress and observing it objectively, you'll reduce the feeling of being overwhelmed and take back control. 

#anxietymanagement #mentalhealthawareness
","Font,Screenshot,Number,Rectangle,Circle,Document,"
sophiechoudry_3311924_2982721645829186931_-1_864,2022-11-30_06-02-30_UTC_1.jpg,864,"Bet I made you look👀🎶💕

Swimsuit @shivanandnarresh @tanimakhosla 
Necklace @chic_therapy_ @dinky_nirh 
📸 @ambereenyusuf 

#prettyinpink #madeyoulook #workation #poolside #pooldays #pinkhaze #mermaid 
#perfectday #midweekmotivation #waterbaby #nofilterneeded #sophiechoudry
","Water,Joint,Photograph,Azure,Swimming pool,Waist,Happy,Thigh,Leisure,Aqua,"
disneyplus_5352028_3054171373719844368_8942_43,2023-03-08_20-00-21_UTC_1.jpg,43,"More Moon Girl magic. 🌙✨

New episodes of Marvel’s #MoonGirlAndDevilDinosaur are now streaming on #DisneyPlus!
","Purple,Font,Violet,Magenta,Art,Symmetry,Pattern,Electric blue,Arthropod,Grass,"
vehiclevirgins_490382_2845477097990687868_5252_38,2022-05-24_21-22-05_UTC_1.jpg,38,"You've probably all seen
the P1-style hood on my 600LT by
@1016industries. Today I've partnered up with them to provide a $2000 discount on hoods for the
Mclaren 570s/570GT/600LT. Contact
sales@1016industries.com and mention Vehicle Virgins to take advantage of this limited offer! 
#mclaren #600lt #1016
","Vehicle,Hood,Tire,Automotive lighting,Mclaren p1,Wheel,Automotive design,Headlamp,Bumper,Car,"
thethrottlehouse_141577_3016358647647057399_1200_13,2023-01-15_15-53-13_UTC.jpg,13,"NEW VIDEO on Extra Throttle House!

We take a look back at our favourite intros from the last year and a bit.

Which one was your favourite?
","Clothing,Jeans,Smile,Shirt,Muscle,Product,Sleeve,Beard,Font,T-shirt,"
jimkwik_2036288_3053577107262709372_4623_140,2023-03-08_00-19-49_UTC.jpg,140,"You have an incredible gift between your ears, but it doesn't come with an owner's manual. 🧠⁠
⁠
Knowing how to use your whole brain isn't something you're taught or necessarily know how to do in school or anywhere. 💡⁠
⁠
If you haven’t listened to our podcast episode 231: The Secret to Using Your Whole Brain with Dr. Jill Bolte Taylor (less than 20 mins), I highly recommend you do so. 💡⁠
⁠
If her name sounds familiar, it's likely because you watched her TEDtalk or read her memoir, My Stroke of Insight, which we've included on our recommended book list for many years now.⁠
⁠
In this episode we’ve discussed her newest book, Whole Brain Living: The Anatomy of Choice and the Four Characters That Drive Our Lives. This book is a myth-buster in so many ways. ⚡️⁠
⁠
Listen in as Dr. Jill discusses the myths of the brain and goes into the mechanics of getting your brain to work for you. If you've ever wondered what the secret for making good choices in your life is so that you can live the life you deserve and desire, this episode is for you. 💚⁠
⁠
▶️ Listen to the FULL EPISODE and subscribe using the link (linktr.ee/kwiklearning) in my profile!👆⁠
⁠
📲 You can always listen on your phone’s favorite station: iTunes, Stitcher, Google Play, Pandora, Spotify and YouTube (check ‘Podcast’ highlight @kwiklearning for direct access)👆⁠
⁠
SAVE, SHARE, and TAG a friend to be limitless together 👇⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
#JimKwik #limitless #lifehacks #brains #brainpower #brainfacts #sciencefacts #neuroscience
","Head,Organism,Font,Pattern,Terrestrial plant,Circle,Twig,Drawing,Symmetry,Tree,"
halfbakedharvest_5247243_2852152013619454407_31107_236,2022-06-03_02-23-56_UTC.jpg,236,"Detroit Style Tomato Herb Pepperoni Pizza. there might not be a better pizza. it’s all about the crispy cheese crust surrounding the entire pan style pizza. the crust + all the melty cheese and pepperoni too?! holy freaking yummm. the herbs/garlic only add to the deliciousness. recipe linked in profile. get at it this weekend (:
","Food,Ingredient,Recipe,Cuisine,Leaf vegetable,Pizza,Vegetable,Dish,Cookware and bakeware,Cooking,"
aashnashroff_969148_3069105084839666307_8201_88,2023-03-29_10-30-58_UTC_1.jpg,88,"me and my new Gucci Girl 🧡 #GucciHorsebit1955 @gucci
","Neck,Sleeve,Waist,Collar,Day dress,Luggage and bags,Fashion design,Bag,Fashion model,Flash photography,"
disneyplus_5352028_3069270900600023782_12828_83,2023-03-29_16-00-25_UTC.jpg,83,"Check out the first look at Crater, a new #DisneyPlus Original movie streaming May 12.
","Astronaut,Helmet,Gesture,Recreation,Personal protective equipment,Freezing,Soldier,Fun,Military person,Winter,"
sophiechoudry_3311924_3026960562697565750_-1_220,2023-01-30_06-57-19_UTC_1.jpg,220,"No Monday blues for this belle👸🏽 

Outfit @anjalikanwarofficial 
Jewels @kishandasjewellery 
HMU @harryrajput64 
📸 @kooljatt 
Styling @sonampoladia @anushree_sardesai

#princessvibes #bridgertonfeels #hhof #hhofsouth #hyderabad #host #prettiness #bluebelle #sophiechoudry #redcarpetstyle
","Hair,Face,Head,Arm,Eye,Shoulder,One-piece garment,Dress,Strapless dress,Neck,"
rahulkl_130314_3030546440641190693_8037_9,2023-02-04_05-41-49_UTC_1.jpg,9,"Pictures with fam & friends 🥰🌸💗
","Smile,Bride,Wedding dress,Fashion,Happy,Curtain,Fashion design,Formal wear,Fun,Event,"
smittenkitchen_1706412_3061920393543404540_3289_26,2023-03-19_12-36-16_UTC.jpg,26,"Everyone has an opinion on how to make perfectly scrambled eggs and this is mine: I like a ribbony heap that comes from a push-pause motion in the pan, forming small and larger bites that are never, ever overcooked or rubbery. Heap it on a thick piece of toast with soft cheese and chives and enjoy it with an exceedingly strong cup of coffee on the side. Shall we? // Scrambled Egg Toast on smittenkitchen.com or linked in profile. In more detail: Go to my profile. Click the link ""smittenkitchen.com/instagram"" Click the photo for the recipe you want and it will take you to it.
","Food,Tableware,Ingredient,Staple food,Recipe,Cuisine,Dish,Baked goods,Plate,Produce,"
shereenlovebug_333413_2986685159445142986_369_4,2022-12-05_17-17-17_UTC.jpg,4,"Dearest Shereen @shereenlovebug 
From a thought exchanged over a DM  on Aug 27th to “Its a film wrap”on Dec 3rd 2:20 am - What a journey. Your dedication and hard-work are awe inspiring. 
We are amazed at your staunch commitment to what we three chose to undertake! As an artist you have come a long way and we are proud of the journey you have charted in these last months, with sincerity and graceful nervousness. It has been a pleasure to have directed you and watched you own those frames. You were present at all times. 
Together, We cannot  wait to complete this creation. We love you for just who you are. ✨

Don’t Worry Be Happy 

#ᴅᴡʙʜ #film #shereenlovebug #dontworrybehappy
","Smile,Joint,Shoulder,Facial expression,Furniture,Muscle,Comfort,Organ,Plant,Standing,"
santoshishetty_746384_3047394897557253382_-1_29,2023-02-27_11-36-42_UTC_1.jpg,29,"A Magical Evening To Remember! 🖤
@ralphlaurenfragrances #RalphsClub #RalphLaurenFragrances ✨

Outfit: @officialsaishashinde
Jewellery: @kushalsfashionjewellery 
Styling: @juhi.ali

#Ad •
","Flash photography,Human body,Grey,Thigh,One-piece garment,Fashion design,Elbow,Darkness,Jewellery,Poster,"
shikhardofficial_13316748_3028580345951708104_182342_465,2023-02-01_12-35-33_UTC.jpg,465,"Horses keep me stable. ❤️
","Horse,Ecoregion,Vertebrate,Sky,Working animal,Bit,Horse tack,Mammal,Horse supplies,Bridle,"
drwaynedyer_683926_2978062296355264943_10214_96,2022-11-23_19-45-12_UTC.jpg,96,"#waynedyerwednesday ❤️
","Organism,Font,Terrestrial plant,Happy,Darkness,Photo caption,Brand,Graphics,Circle,Event,"
shereenlovebug_333413_3014683950157022553_1789_30,2023-01-13_08-25-53_UTC_1.jpg,30,"It’s not that cold haan 🥶
 #Delhi #shotoniphone #airportlook 
@uniqloin @hermes
","Tire,Land vehicle,Wheel,Car,Vehicle,Product,Automotive design,Motor vehicle,Tartan,Automotive lighting,"
brendonburchard_1158797_3063577670135198853_2336_125,2023-03-21_19-28-59_UTC.jpg,125,"Some #tuesdaythoughts for you ❤️ Share this with someone who might need the reminder!
","Font,Brand,Circle,"
malaikaaroraofficial_17523077_3036364964662672306_119163_733,2023-02-12_06-22-12_UTC_1.jpg,733,"Sunday🤍🤍. Gown by : @gauravguptaofficial 
Styled by :@manekaharisinghani 
Makeup by : @simone.hairandmakeup 
Hair by : @hairstylist_madhav2.0
Shot by : @apoorvmauryaphotography
","Dress,Flash photography,Wedding dress,Sleeve,One-piece garment,Waist,Gesture,Happy,Gown,People in nature,"
kayaancontractor_100226_3064790058326580011_692_33,2023-03-23_11-37-47_UTC_1.jpg,33,"Thank you Aunty Chandi for the #matchymatchy 💗 
WE LOVE YOU! #babyikatstory @theikatstory @chandnisareen 
.
#babyikat #ikatstory #theikatstory #alexandreavocado #kayaancontractor #shapeshifterin
","Smile,Head,Eye,Flash photography,Fashion,Happy,Gesture,Iris,Interaction,Fun,"
vehiclevirgins_490382_2852636216069552870_5501_39,2022-06-03_18-25-58_UTC_1.jpg,39,"Meet the $2.7 Million Mercedes AMG One. 1049hp, 4 electric motors and the F1 engine from Lewis Hamilton’s actual racecar. Everything you need to know is in todays video now live on the channel! Link in bio @vehiclevirgins 
#mercedes #amg #one
","Wheel,Car,Tire,Vehicle,Land vehicle,Automotive lighting,Hood,Automotive parking light,Automotive design,Grille,"
ishant.sharma29_1487653_2824976464187745552_32181_112,2022-04-26_14-30-59_UTC.jpg,112,"An avatar you never saw coming! #BTS

If you know, you know🤫
","White,Human,Flash photography,Standing,Black-and-white,Gesture,Architecture,Style,Road surface,Tints and shades,"
brendonburchard_1158797_3029688694735733143_2247_85,2023-02-03_01-17-38_UTC.jpg,85,"I didn’t know fancy people growing up. No one wealthy. No one with crazy Ivy League degrees. No famous people. No writers. No speakers. No CEOs. No sales leaders. No event planners. No HR people. No book agents. No videographers. No distributors. No one in the public eye. 

SO WHAT?

You have to architect your future. You build from nothing. You lay the bricks and you build a temple with your own thoughts and habits and choices day after day. You build the future you desire not wish what you had. 

Doesn’t mean it’s easy. It’s just required. 

Keep at it my friend. Keep adding value to others. Keeep serving. Keep believing and improving day by day. Keep treating others with kindness and respect. You’ll be surprised one day where it takes you. 

Your coach,
Brendon. 

#motivationalquotes #personalgrowth #growthday
","Font,Screenshot,Terrestrial plant,Circle,"
aashnashroff_969148_3061976659997838774_155162_21,2023-03-19_14-28-03_UTC.jpg,21,"You've got to have the right accessories to complete any look! And with the #OPPOFindN2Flip, you can bet your look will make people say, #OhSnap!
The #BestFlipPhone is here, go check it out now! ✨

#ad
","Skin,Arm,Eyelash,Flash photography,Neck,Dress,Waist,Gesture,Communication Device,Fashion design,"
iamjoelbrown_128782_3042681534545777679_109_19,2023-02-20_23-32-05_UTC.jpg,19,"Have you ever wondered what would have happened if you just stayed in your home town your whole life and never ventured out?

Or maybe you have and you wonder what would happen if you do leave the certainty of all you’ve ever known.

Well 14 years ago I lived a typical life, working a 9-5 job and felt trapped in the rat race of working for a boss. It was a comfortable life, but deep down, I knew I was meant for something more.

One day, I took a leap of faith and decided to pursue my passion for coaching. I poured my heart and soul into building my business, determined to create transformation in the lives of many.

It wasn't easy, but with hard work and dedication, I managed to build a thriving coaching business that reached 7 figures.

As fate would have it, I was given the opportunity to feature in a documentary film called Think & Grow Rich.

It was an incredible honor to be a part of such a renowned project, and even more so, to attend the red carpet event alongside inspiring individuals like Rob Drydek, Lewis Howes, Barbara Corcoran and Bob Proctor. 

Looking back, I realize that my dreams were always within reach. It wasn't about being lucky or having connections, but about leading with service and becoming an entrepreneur that genuinely cares about making a difference in the world.

My journey is a testament to the fact that anyone can achieve their dreams if they have the courage to pursue them. It's never too late to take that leap of faith and become the person you were always meant to be. May my story inspire you to follow your heart and create the life of your dreams.

If you’d love to learn how to build a legit 7 figure coaching business online so you can work from anywhere then DM me the word ‘FREEDOM’ and let’s have a chat. I have something to share with you.

—

Have you stayed in your home town or ventured out? I’d love to know and would love to know why. Drop a comment below 👇🏼
","Suit trousers,Musician,Dress shirt,Music,Chair,Collar,Tie,Performing arts,Music artist,Blazer,"
rahulkl_130314_3039566749612553741_8368_8,2023-02-16_16-23-34_UTC.jpg,8,"Congratulations Hardik & Nataša 😍
","Smile,Temple,Happy,Decoration,Performing arts,Entertainment,Fashion design,Fun,Formal wear,Sari,"
akanksharedhu_166654_3015660111355135907_-1_19,2023-01-14_16-45-21_UTC_1.jpg,19,"Have pretty much lived in these 2 timeless linen dresses while in Goa ❤️ ~ by @saphedliving 
Together and as separates. The shirt dress especially is a classic buy because you will wear it everywhere. And look so chic, effortless and cool 🚀 especially when you're taking your sunset walk on the beach ;) as i did :)
.
.
#RedhuxIndieDesign
#akanksharedhu #ootd #lotd #wiw #indianfashionblogger #indianblogger #Fashionblogger #Delhiblogger #styleinspo #styleinspiration #styleinfluencer #bloggerstyle #saphed #saphedlinen
","Neck,Dress,One-piece garment,Waist,Tree,Fawn,Arecales,Happy,Beach,Black hair,"
malaikaaroraofficial_17523077_3015563174455461459_230916_1219,2023-01-14_13-32-45_UTC_1.jpg,1219,"Laughter is the best remedy ….. Outfit by: @naeemkhannyc
Styled by :@manekaharisinghani 
Makeup by : @meghnabutanihairandmakeup
Hair by : @flavienheldt 
Shot by : @vievekdesai
Managed by : @ektakauroberoi
#MovingInWithMalaika
","Hand,Arm,Shoulder,Neck,Waist,Thigh,Fashion design,Trunk,One-piece garment,Abdomen,"
bonappetitmag_4607066_3069442229110196742_7238_33,2023-03-29_21-40-51_UTC.jpg,33,"☀️ One glorious sunny day at BA HQ and we're sitting here dreaming of warmer days ahead. And picnics... where we can eat @hanaasbrink's Spicy Caesar Potato Salad weather. Get the recipe at the link in bio. 📷 Photo: @isa.zapata, 🍴 Food Styling: @spencerwrichards, 🥣 Prop Styling: @marinabevi
","Food,Ingredient,Recipe,Fast food,Cuisine,Dish,Produce,Fried food,Finger food,Cooking,"
tanvikharote_40291_3002619132897607342_641_8,2022-12-27_16-55-15_UTC_1.jpg,8,"Face of Mumbai 2022 Official Show Director & Training Partner @confidenceandcrowns felicitated by-@tannazirani_ 

@lakshmisuchan @faceofmumbai_ 
Wearing gorgeous outfit by-@aashiluthrastore 

#showdirector #fashionchoreographer #rampwalktraining #runwaydirection #pageanttraining #pageantqueensindia #mumbai
","Hair,Face,Smile,Joint,Skin,Head,Hairstyle,Shoulder,Dress,Fashion,"
minimalistbaker_2144759_3025694367122358855_2590_20,2023-01-28_13-01-37_UTC_1.jpg,20,"Warm up with these comforting meals 🍝🍛🥣🍲! We've gathered our favorite soups and stews guaranteed to please your taste buds and warm you up from the inside out! Bonus? Most come together in 1 pot or the Instant Pot!⁠
⁠
👉 Scroll through to explore these comforting soups and stews! Link in bio → @minimalistbaker for the recipes.⁠
⁠
#comforting #soups #stews #easyrecipes #minimalistbaker #glutenfree #dairyfree #glutenfreerecipes #dairyfreerecipes
","Food,Liquid,Ingredient,Recipe,Fluid,Amber,Cuisine,Tableware,Produce,Dish,"
supercarblondie_12059261_2908477462889220823_142498_525,2022-08-19_19-32-33_UTC_1.jpg,525,"You’ve gotta see how this car steers 😱😎 Crazy video live now - go check out it out link in bio #lincoln #lincoln100
","Vehicle,Land vehicle,Car,Grille,Automotive lighting,Vehicle registration plate,Hood,Automotive tire,Motor vehicle,Automotive design,"
mahi7781_40959576_1332745809472719726_963055_3301,2016-09-05_17-15-02_UTC.jpg,3301,"Perfect weather and surroundings to play golf
","Cloud,Sky,Glasses,Vision care,Water,Smile,Sunglasses,Goggles,Plant,Beard,"
etthehiphoppreacher_2196457_3067549561358915011_25075_255,2023-03-27_07-00-25_UTC_1.jpg,255,"How are YOU choosing to focus on SOLUTIONS instead of problems? Rise above average and share your game-changing strategies! Let's inspire each other to greatness! 💯🚀 #RiseAboveAverage #youoweyou
","Facial expression,Microphone,Cricket cap,Gesture,Cap,Baseball cap,Font,Technology,T-shirt,Event,"
zomato_809822_3047448928017777787_28950_348,2023-02-27_13-24-03_UTC_1.jpg,348,"jab tak bhauk na mite, khate rehna 🐶
","Dog,Carnivore,Happy,Dog supply,Dog breed,Companion dog,Font,Pet supply,Photo caption,Advertising,"
shreyajain26_451117_2751680116729837089_3271_15,2022-01-15_11-24-13_UTC.jpg,15,"Your wish is our command ⭐️ 
Products chosen by you guys are now at a flat 30% off on @thefaceshopindia_official website ❤️
#shreyajain #SJFam #TheFaceShopIndia #Discount #Skincare
","Fashion,Textile,Sleeve,Orange,Gesture,Yellow,Plant,Happy,Eyelash,Tableware,"
hbomax_3056324_3058489803931807616_10592_35,2023-03-14_19-00-18_UTC.jpg,35,"This is a... corpse.

From Oscar winners Daniel Scheinert and Daniel Kwan, #SwissArmyMan is streaming on @hbo via HBO Max.
","Forehead,Hair,Head,Hairstyle,Photograph,Eye,Facial expression,Organ,Jaw,Flash photography,"
anshukayoga_403394_3050323038578030085_1124_9,2023-03-03_12-34-24_UTC.jpg,9,"Dear Mamas 🤰🤰🤰
Re-connect with your body through your Yoga practice🧘🏻‍♀️ 💖

Thank you @punetimesonline, for highlighting the delicate and crucial postnatal journey of new mothers and how Yoga can be incorporated in their life to re-connect with themselves.

Breathwork, pranayama, inversions and certain asanas are what will help you to deal with pre and postpartum symptoms and bounce back to your old self.

Give this a read, we surely need more awareness when it comes to the post-natal journey of new mothers.

#Yoga #PostnatalYoga #PostnatalFitness #Postnatal #PostnatalExercise #YogaEveryday #AnshukaYogaWellness #YogaMumbai #AnshukaParwani #AnshukaYoga
","Muscle,Publication,Thigh,Waist,Poster,Font,Advertising,Abdomen,Physical fitness,Magazine,"
food52_3599596_3068425271174740191_2166_80,2023-03-28_12-00-21_UTC.jpg,80,"""Loaves release completely, with nary a crumb left behind."" - Food52er Mary Richardson. Click the link in bio to find out how! 📸: @markweinbergnyc #f52community #f52grams
","Hand,Sleeve,Sunglasses,Body jewelry,Waist,Font,Fashion design,Jewellery,Art,Automotive wheel system,"
disneyplus_5352028_3059335385542163396_25447_182,2023-03-15_23-00-19_UTC.jpg,182,"The East meets the West in this art inspired by #AmericanBornChinese. 🐉🪷

🎨: @jamesjeanart
","Organism,Art,Font,Poster,Fictional character,Painting,Illustration,Visual arts,Graphics,Drawing,"
namratapurohit_431641_3065352814368673922_1655_28,2023-03-24_06-15-52_UTC_1.jpg,28,"Own your story, be proud of your journey! 🔥❤️ you are incredible just the way you are ⭐️ 
.
#Mood #FeelGood @adidasindia #Adidas #Believe
","Hair,Joint,Plant,People in nature,Botany,Neck,Sleeve,Waist,Thigh,Knee,"
yasminkarachiwala_1062568_2717739906161150503_-1_52,2021-11-29_15-31-05_UTC_1.jpg,52,"KISS MY ABS! 💪💯 

Gear up with this super effective Abs Workout for the holiday season or just for the love of that burn 😘🤩

I guarantee you those abs are gonna be on 🔥 🔥 🔥 

👉🏼How to do the workout : 

* 45s each 

* 4 rounds

* 15s rest between exercises 

1️⃣ Leg Raise Variation (20 reps)
M: Alternate Leg Straight Leg Lowers

2️⃣ Sit up with Single Leg Knee 
M: Crunch with Single Knee in

3️⃣ Forearm Side Plank Crunch 
M: Forearm Side Plank Dips

4️⃣ Elevated Seated Punches 
M: Seated Punches

5️⃣ Reverse Table Top Crunch 
M: Crab Lifts

.
.
.
.
.
#yasminkarachiwala #bodyimage #pilatesfit #fullbodyworkout #fitnessaddicted #abworkout #fatburn #hiitcardio #fitlife #fatburner #things2doinmumbai #fatlossjourney #gymrat #corestrength #fitnesstips #fitnessforlife #leanmuscle #workoutwear #bodyfit #everydaymumbai #inspiroindia #instamumbai #absonfire
","Window,People in nature,Wood,Thigh,Happy,Plant,Tree,Knee,Leisure,Exercise,"
anshukayoga_403394_3049578329752564192_3175_24,2023-03-02_11-54-47_UTC_1.jpg,24,"Breathe • Stretch • Repeat 💙

It’s a good day to practice some splits 🧘🏻‍♀️ with @golshanz1986 💙

#Yoga #YogaGirl #YogaAddict #YogaDaily #YogaAsana #AnshukaYogaWellness #YogaMumbai #AnshukaParwani #AnshukaYoga
","Joint,yoga pant,Yoga mat,Active pants,Waist,Knee,Thigh,Flooring,Wood,Comfort,"
masoomminawala_1355818_3040913420307466463_9401_59,2023-02-18_12-59-10_UTC_1.jpg,59,"Literally cannot say no to a cute co-ord set 💙🦋

This one is from @pinksandpastelsin & I just love the button and slit detailing. 

#Ad
","Joint,Shoe,Smile,Leg,Neck,Sleeve,Waist,Thigh,Knee,Collar,"
